CAISO 15-Minute Real-Time Locational Marginal Prices ($/megawatt) for Zones
15-minute real-time locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2023-01-01 08:15:00,2023-01-01 00:00:00,2023-01-01 00:15:00,2023-01-01,1,114.91,114.91,114.91,0.0,0.0,0.0,114.91,114.91,114.91,0.0,0.0,0.0
2023-01-01 08:30:00,2023-01-01 00:15:00,2023-01-01 00:30:00,2023-01-01,1,114.41,114.41,114.41,0.0,0.0,0.0,114.41,114.41,114.41,0.0,0.0,0.0
2023-01-01 08:45:00,2023-01-01 00:30:00,2023-01-01 00:45:00,2023-01-01,1,114.38,114.38,114.38,0.0,0.0,0.0,114.38,114.38,114.38,0.0,0.0,0.0
2023-01-01 09:00:00,2023-01-01 00:45:00,2023-01-01 01:00:00,2023-01-01,1,114.41,114.41,114.41,0.0,0.0,0.0,114.41,114.41,114.41,0.0,0.0,0.0
2023-01-01 09:15:00,2023-01-01 01:00:00,2023-01-01 01:15:00,2023-01-01,2,109.20141,107.84404,107.45463,0.0,0.0,0.0,111.25972,111.25972,111.25972,-2.0583,-3.41567,-3.80508
2023-01-01 09:30:00,2023-01-01 01:15:00,2023-01-01 01:30:00,2023-01-01,2,112.14,112.14,112.14,0.0,0.0,0.0,112.14,112.14,112.14,0.0,0.0,0.0
2023-01-01 09:45:00,2023-01-01 01:30:00,2023-01-01 01:45:00,2023-01-01,2,111.2988,111.2988,111.2988,0.0,0.0,0.0,111.2988,111.2988,111.2988,0.0,0.0,0.0
2023-01-01 10:00:00,2023-01-01 01:45:00,2023-01-01 02:00:00,2023-01-01,2,104.2812,104.2812,104.2812,0.0,0.0,0.0,104.2812,104.2812,104.2812,0.0,0.0,0.0
2023-01-01 10:15:00,2023-01-01 02:00:00,2023-01-01 02:15:00,2023-01-01,3,107.6912,107.6912,107.6912,0.0,0.0,0.0,107.6912,107.6912,107.6912,0.0,0.0,0.0
2023-01-01 10:30:00,2023-01-01 02:15:00,2023-01-01 02:30:00,2023-01-01,3,104.3224,104.3224,104.3224,0.0,0.0,0.0,104.3224,104.3224,104.3224,0.0,0.0,0.0
2023-01-01 10:45:00,2023-01-01 02:30:00,2023-01-01 02:45:00,2023-01-01,3,103.63964,103.63964,103.63964,0.0,0.0,0.0,103.63964,103.63964,103.63964,0.0,0.0,0.0
2023-01-01 11:00:00,2023-01-01 02:45:00,2023-01-01 03:00:00,2023-01-01,3,99.1024,99.1024,99.1024,0.0,0.0,0.0,99.1024,99.1024,99.1024,0.0,0.0,0.0
2023-01-01 11:15:00,2023-01-01 03:00:00,2023-01-01 03:15:00,2023-01-01,4,109.1288,109.1288,109.1288,0.0,0.0,0.0,109.1288,109.1288,109.1288,0.0,0.0,0.0
2023-01-01 11:30:00,2023-01-01 03:15:00,2023-01-01 03:30:00,2023-01-01,4,109.1288,109.1288,109.1288,0.0,0.0,0.0,109.1288,109.1288,109.1288,0.0,0.0,0.0
2023-01-01 11:45:00,2023-01-01 03:30:00,2023-01-01 03:45:00,2023-01-01,4,109.1288,109.1288,109.1288,0.0,0.0,0.0,109.1288,109.1288,109.1288,0.0,0.0,0.0
2023-01-01 12:00:00,2023-01-01 03:45:00,2023-01-01 04:00:00,2023-01-01,4,104.07715,104.07715,104.07715,0.0,0.0,0.0,104.07715,104.07715,104.07715,0.0,0.0,0.0
2023-01-01 12:15:00,2023-01-01 04:00:00,2023-01-01 04:15:00,2023-01-01,5,109.2488,109.2488,109.2488,0.0,0.0,0.0,109.2488,109.2488,109.2488,0.0,0.0,0.0
2023-01-01 12:30:00,2023-01-01 04:15:00,2023-01-01 04:30:00,2023-01-01,5,109.1288,109.1288,109.1288,0.0,0.0,0.0,109.1288,109.1288,109.1288,0.0,0.0,0.0
2023-01-01 12:45:00,2023-01-01 04:30:00,2023-01-01 04:45:00,2023-01-01,5,109.8988,109.8988,109.8988,0.0,0.0,0.0,109.8988,109.8988,109.8988,0.0,0.0,0.0
2023-01-01 13:00:00,2023-01-01 04:45:00,2023-01-01 05:00:00,2023-01-01,5,109.1288,109.1288,109.1288,0.0,0.0,0.0,109.1288,109.1288,109.1288,0.0,0.0,0.0
2023-01-01 13:15:00,2023-01-01 05:00:00,2023-01-01 05:15:00,2023-01-01,6,112.14,112.14,112.14,0.0,0.0,0.0,112.14,112.14,112.14,0.0,0.0,0.0
2023-01-01 13:30:00,2023-01-01 05:15:00,2023-01-01 05:30:00,2023-01-01,6,112.14,112.14,112.14,0.0,0.0,0.0,112.14,112.14,112.14,0.0,0.0,0.0
2023-01-01 13:45:00,2023-01-01 05:30:00,2023-01-01 05:45:00,2023-01-01,6,112.14,112.14,112.14,0.0,0.0,0.0,112.14,112.14,112.14,0.0,0.0,0.0
2023-01-01 14:00:00,2023-01-01 05:45:00,2023-01-01 06:00:00,2023-01-01,6,112.14,112.14,112.14,0.0,0.0,0.0,112.14,112.14,112.14,0.0,0.0,0.0
2023-01-01 14:15:00,2023-01-01 06:00:00,2023-01-01 06:15:00,2023-01-01,7,108.69486,107.21135,106.6578,0.0,0.0,0.0,110.70978,110.70978,110.70978,-2.01492,-3.49843,-4.05198
2023-01-01 14:30:00,2023-01-01 06:15:00,2023-01-01 06:30:00,2023-01-01,7,111.38931,110.19609,109.4688,0.0,0.0,0.0,113.63937,113.63937,113.63937,-2.25006,-3.44327,-4.17056
2023-01-01 14:45:00,2023-01-01 06:30:00,2023-01-01 06:45:00,2023-01-01,7,114.8728,113.2356,112.67428,0.0,0.0,0.0,116.94269,116.94269,116.94269,-2.06989,-3.70708,-4.26841
2023-01-01 15:00:00,2023-01-01 06:45:00,2023-01-01 07:00:00,2023-01-01,7,114.41,114.41,114.41,0.0,0.0,0.0,114.41,114.41,114.41,0.0,0.0,0.0
2023-01-01 15:15:00,2023-01-01 07:00:00,2023-01-01 07:15:00,2023-01-01,8,114.41,114.41,114.41,0.0,0.0,0.0,114.41,114.41,114.41,0.0,0.0,0.0
2023-01-01 15:30:00,2023-01-01 07:15:00,2023-01-01 07:30:00,2023-01-01,8,110.67,110.67,110.67,0.0,0.0,0.0,110.67,110.67,110.67,0.0,0.0,0.0
2023-01-01 15:45:00,2023-01-01 07:30:00,2023-01-01 07:45:00,2023-01-01,8,102.6,102.6,102.6,0.0,0.0,0.0,102.6,102.6,102.6,0.0,0.0,0.0
2023-01-01 16:00:00,2023-01-01 07:45:00,2023-01-01 08:00:00,2023-01-01,8,100.2976,100.2976,100.2976,0.0,0.0,0.0,100.2976,100.2976,100.2976,0.0,0.0,0.0
2023-01-01 16:15:00,2023-01-01 08:00:00,2023-01-01 08:15:00,2023-01-01,9,111.9334,107.68959,107.88044,0.0,0.0,0.0,112.27021,112.27021,112.27021,-0.33681,-4.58062,-4.38977
2023-01-01 16:30:00,2023-01-01 08:15:00,2023-01-01 08:30:00,2023-01-01,9,124.83497,120.24904,120.08616,0.0,0.0,0.0,125.29858,125.29858,125.29858,-0.4636,-5.04953,-5.21242
2023-01-01 16:45:00,2023-01-01 08:30:00,2023-01-01 08:45:00,2023-01-01,9,113.24133,108.3946,108.64373,0.0,0.0,0.0,113.24133,113.24133,113.24133,0.0,-4.84673,-4.5976
2023-01-01 17:00:00,2023-01-01 08:45:00,2023-01-01 09:00:00,2023-01-01,9,108.19774,102.59259,103.22734,0.0,0.0,0.0,107.58451,107.58451,107.58451,0.61323,-4.99192,-4.35717
2023-01-01 17:15:00,2023-01-01 09:00:00,2023-01-01 09:15:00,2023-01-01,10,108.98122,103.42693,103.80662,0.0,0.0,0.0,108.4822,108.4822,108.4822,0.49902,-5.05527,-4.67558
2023-01-01 17:30:00,2023-01-01 09:15:00,2023-01-01 09:30:00,2023-01-01,10,106.47467,101.21509,101.27872,0.0,0.0,0.0,106.03991,106.03991,106.03991,0.43476,-4.82482,-4.76119
2023-01-01 17:45:00,2023-01-01 09:30:00,2023-01-01 09:45:00,2023-01-01,10,102.42591,97.43674,97.34492,0.0,0.0,0.0,102.02801,102.02801,102.02801,0.39791,-4.59126,-4.68309
2023-01-01 18:00:00,2023-01-01 09:45:00,2023-01-01 10:00:00,2023-01-01,10,98.95501,94.5603,94.29366,0.0,0.0,0.0,98.7575,98.7575,98.7575,0.19751,-4.19719,-4.46384
2023-01-01 18:15:00,2023-01-01 10:00:00,2023-01-01 10:15:00,2023-01-01,11,105.26797,100.94637,100.37718,0.0,0.0,0.0,105.405,105.405,105.405,-0.13703,-4.45863,-5.02782
2023-01-01 18:30:00,2023-01-01 10:15:00,2023-01-01 10:30:00,2023-01-01,11,104.49399,99.59502,99.2719,0.0,0.0,0.0,104.23341,104.23341,104.23341,0.26058,-4.63839,-4.96151
2023-01-01 18:45:00,2023-01-01 10:30:00,2023-01-01 10:45:00,2023-01-01,11,87.31698,83.70097,83.13324,0.0,0.0,0.0,87.34318,87.34318,87.34318,-0.0262,-3.64221,-4.20994
2023-01-01 19:00:00,2023-01-01 10:45:00,2023-01-01 11:00:00,2023-01-01,11,84.31107,81.44087,80.57727,0.0,0.0,0.0,84.66667,84.66667,84.66667,-0.3556,-3.2258,-4.0894
2023-01-01 19:15:00,2023-01-01 11:00:00,2023-01-01 11:15:00,2023-01-01,12,89.91922,85.8385,85.40801,0.0,0.0,0.0,89.68603,89.68603,89.68603,0.23318,-3.84753,-4.27802
2023-01-01 19:30:00,2023-01-01 11:15:00,2023-01-01 11:30:00,2023-01-01,12,85.76136,82.13619,81.48486,0.0,0.0,0.0,85.70136,85.70136,85.70136,0.05999,-3.56518,-4.21651
2023-01-01 19:45:00,2023-01-01 11:30:00,2023-01-01 11:45:00,2023-01-01,12,82.68323,79.33456,78.62349,0.0,0.0,0.0,82.68323,82.68323,82.68323,0.0,-3.34867,-4.05975
2023-01-01 20:00:00,2023-01-01 11:45:00,2023-01-01 12:00:00,2023-01-01,12,66.64019,64.43112,63.56089,0.0,0.0,0.0,66.94143,66.94143,66.94143,-0.30124,-2.5103,-3.38054
2023-01-01 20:15:00,2023-01-01 12:00:00,2023-01-01 12:15:00,2023-01-01,13,78.81784,75.67838,74.88168,0.0,0.0,0.0,78.88094,78.88094,78.88094,-0.0631,-3.20257,-3.99926
2023-01-01 20:30:00,2023-01-01 12:15:00,2023-01-01 12:30:00,2023-01-01,13,77.44721,74.38467,73.59384,0.0,0.0,0.0,77.53249,77.53249,77.53249,-0.08529,-3.14782,-3.93865
2023-01-01 20:45:00,2023-01-01 12:30:00,2023-01-01 12:45:00,2023-01-01,13,60.26417,57.96327,57.28689,0.0,0.0,0.0,60.39099,60.39099,60.39099,-0.12682,-2.42772,-3.1041
2023-01-01 21:00:00,2023-01-01 12:45:00,2023-01-01 13:00:00,2023-01-01,13,59.29562,57.31255,56.56815,0.0,0.0,0.0,59.55169,59.55169,59.55169,-0.25607,-2.23914,-2.98354
2023-01-01 21:15:00,2023-01-01 13:00:00,2023-01-01 13:15:00,2023-01-01,14,77.95463,75.15602,74.19448,0.0,0.0,0.0,78.17351,78.17351,78.17351,-0.21889,-3.0175,-3.97903
2023-01-01 21:30:00,2023-01-01 13:15:00,2023-01-01 13:30:00,2023-01-01,14,83.11758,80.25577,79.17112,0.0,0.0,0.0,83.43463,83.43463,83.43463,-0.31705,-3.17886,-4.26351
2023-01-01 21:45:00,2023-01-01 13:30:00,2023-01-01 13:45:00,2023-01-01,14,83.76668,80.67634,79.65183,0.0,0.0,0.0,83.97663,83.97663,83.97663,-0.20994,-3.30028,-4.3248
2023-01-01 22:00:00,2023-01-01 13:45:00,2023-01-01 14:00:00,2023-01-01,14,78.12043,75.33126,74.31274,0.0,0.0,0.0,78.34764,78.34764,78.34764,-0.22721,-3.01638,-4.0349
2023-01-01 22:15:00,2023-01-01 14:00:00,2023-01-01 14:15:00,2023-01-01,15,58.28668,56.49551,55.43255,0.0,0.0,0.0,58.72714,58.72714,58.72714,-0.44045,-2.23163,-3.29459
2023-01-01 22:30:00,2023-01-01 14:15:00,2023-01-01 14:30:00,2023-01-01,15,82.96531,80.275,78.92984,0.0,0.0,0.0,83.55016,83.55016,83.55016,-0.58485,-3.27517,-4.62032
2023-01-01 22:45:00,2023-01-01 14:30:00,2023-01-01 14:45:00,2023-01-01,15,94.02062,91.3221,89.52625,0.0,0.0,0.0,95.01831,95.01831,95.01831,-0.99769,-3.69621,-5.49206
2023-01-01 23:00:00,2023-01-01 14:45:00,2023-01-01 15:00:00,2023-01-01,15,99.1841,96.85036,94.82845,0.0,0.0,0.0,100.59239,100.59239,100.59239,-1.40829,-3.74204,-5.76394
2023-01-01 23:15:00,2023-01-01 15:00:00,2023-01-01 15:15:00,2023-01-01,16,78.16605,78.07764,75.78691,0.0,0.0,0.0,80.3764,80.3764,80.3764,-2.21035,-2.29877,-4.58949
2023-01-01 23:30:00,2023-01-01 15:15:00,2023-01-01 15:30:00,2023-01-01,16,96.89894,97.23876,94.42025,0.0,0.0,0.0,99.94733,99.94733,99.94733,-3.04839,-2.70857,-5.52709
2023-01-01 23:45:00,2023-01-01 15:30:00,2023-01-01 15:45:00,2023-01-01,16,115.79222,116.12685,113.10327,0.0,0.0,0.0,119.50895,119.50895,119.50895,-3.71673,-3.3821,-6.40568
2023-01-02 00:00:00,2023-01-01 15:45:00,2023-01-01 16:00:00,2023-01-01,16,145.0,145.0,145.0,0.0,0.0,0.0,145.0,145.0,145.0,0.0,0.0,0.0
2023-01-02 00:15:00,2023-01-01 16:00:00,2023-01-01 16:15:00,2023-01-01,17,107.90634,107.76186,105.82801,0.0,0.0,0.0,111.14053,111.14053,111.14053,-3.23419,-3.37867,-5.31252
2023-01-02 00:30:00,2023-01-01 16:15:00,2023-01-01 16:30:00,2023-01-01,17,121.60354,122.33397,119.90341,0.0,0.0,0.0,125.93573,125.93573,125.93573,-4.33219,-3.60176,-6.03232
2023-01-02 00:45:00,2023-01-01 16:30:00,2023-01-01 16:45:00,2023-01-01,17,169.69748,171.51517,168.12686,0.0,0.0,0.0,176.47408,176.47408,176.47408,-6.7766,-4.95892,-8.34722
2023-01-02 01:00:00,2023-01-01 16:45:00,2023-01-01 17:00:00,2023-01-01,17,197.90385,198.31393,195.4229,0.0,0.0,0.0,205.03923,205.03923,205.03923,-7.13537,-6.72529,-9.61634
2023-01-02 01:15:00,2023-01-01 17:00:00,2023-01-01 17:15:00,2023-01-01,18,161.6493,163.06387,160.0158,0.0,0.0,0.0,168.40224,168.40224,168.40224,-6.75293,-5.33835,-8.38643
2023-01-02 01:30:00,2023-01-01 17:15:00,2023-01-01 17:30:00,2023-01-01,18,173.95364,174.85892,171.90778,0.0,0.0,0.0,181.05084,181.05084,181.05084,-7.09719,-6.19194,-9.14307
2023-01-02 01:45:00,2023-01-01 17:30:00,2023-01-01 17:45:00,2023-01-01,18,177.50737,177.63643,175.05531,0.0,0.0,0.0,184.36578,184.36578,184.36578,-6.85841,-6.72935,-9.31047
2023-01-02 02:00:00,2023-01-01 17:45:00,2023-01-01 18:00:00,2023-01-01,18,188.69846,188.67888,186.03467,0.0,0.0,0.0,195.8672,195.8672,195.8672,-7.16874,-7.18833,-9.83253
2023-01-02 02:15:00,2023-01-01 18:00:00,2023-01-01 18:15:00,2023-01-01,19,193.90877,193.18546,191.2767,0.0,0.0,0.0,200.9209,200.9209,200.9209,-7.01214,-7.73545,-9.6442
2023-01-02 02:30:00,2023-01-01 18:15:00,2023-01-01 18:30:00,2023-01-01,19,177.47076,177.76578,175.3872,0.0,0.0,0.0,184.38521,184.38521,184.38521,-6.91445,-6.61943,-8.998
2023-01-02 02:45:00,2023-01-01 18:30:00,2023-01-01 18:45:00,2023-01-01,19,180.65257,181.29185,178.79114,0.0,0.0,0.0,188.02307,188.02307,188.02307,-7.3705,-6.73123,-9.23193
2023-01-02 03:00:00,2023-01-01 18:45:00,2023-01-01 19:00:00,2023-01-01,19,143.88486,144.81361,142.5516,0.0,0.0,0.0,149.80203,149.80203,149.80203,-5.91718,-4.98841,-7.25042
2023-01-02 03:15:00,2023-01-01 19:00:00,2023-01-01 19:15:00,2023-01-01,20,145.86662,145.70036,144.32498,0.0,0.0,0.0,151.14146,151.14146,151.14146,-5.27484,-5.44109,-6.81648
2023-01-02 03:30:00,2023-01-01 19:15:00,2023-01-01 19:30:00,2023-01-01,20,144.8221,145.0175,143.49937,0.0,0.0,0.0,150.30835,150.30835,150.30835,-5.48625,-5.29085,-6.80897
2023-01-02 03:45:00,2023-01-01 19:30:00,2023-01-01 19:45:00,2023-01-01,20,140.34879,141.00502,139.28421,0.0,0.0,0.0,145.83208,145.83208,145.83208,-5.48329,-4.82704,-6.54786
2023-01-02 04:00:00,2023-01-01 19:45:00,2023-01-01 20:00:00,2023-01-01,20,135.63287,135.78758,134.35306,0.0,0.0,0.0,140.63965,140.63965,140.63965,-5.00677,-4.85207,-6.28659
2023-01-02 04:15:00,2023-01-01 20:00:00,2023-01-01 20:15:00,2023-01-01,21,137.69853,137.65578,136.28748,0.0,0.0,0.0,142.5303,142.5303,142.5303,-4.83178,-4.87454,-6.24283
2023-01-02 04:30:00,2023-01-01 20:15:00,2023-01-01 20:30:00,2023-01-01,21,140.42136,140.52315,139.03967,0.0,0.0,0.0,145.439,145.439,145.439,-5.01765,-4.91584,-6.39932
2023-01-02 04:45:00,2023-01-01 20:30:00,2023-01-01 20:45:00,2023-01-01,21,136.43495,136.83107,135.28903,0.0,0.0,0.0,141.47133,141.47133,141.47133,-5.03638,-4.64026,-6.1823
2023-01-02 05:00:00,2023-01-01 20:45:00,2023-01-01 21:00:00,2023-01-01,21,125.31353,126.25064,124.51958,0.0,0.0,0.0,130.1553,130.1553,130.1553,-4.84178,-3.90466,-5.63572
2023-01-02 05:15:00,2023-01-01 21:00:00,2023-01-01 21:15:00,2023-01-01,22,137.59698,137.28418,136.31729,0.0,0.0,0.0,142.18971,142.18971,142.18971,-4.59273,-4.90555,-5.87244
2023-01-02 05:30:00,2023-01-01 21:15:00,2023-01-01 21:30:00,2023-01-01,22,132.90746,132.49597,131.54958,0.0,0.0,0.0,137.1594,137.1594,137.1594,-4.25194,-4.66342,-5.60982
2023-01-02 05:45:00,2023-01-01 21:30:00,2023-01-01 21:45:00,2023-01-01,22,125.62819,125.55073,124.52563,0.0,0.0004,0.00035,129.75438,129.75438,129.75438,-4.12619,-4.20404,-5.2291
2023-01-02 06:00:00,2023-01-01 21:45:00,2023-01-01 22:00:00,2023-01-01,22,122.65643,122.6311,121.56739,0.0,0.0,0.0,126.63269,126.63269,126.63269,-3.97627,-4.00159,-5.06531
2023-01-02 06:15:00,2023-01-01 22:00:00,2023-01-01 22:15:00,2023-01-01,23,151.04503,148.91394,148.65141,0.0,0.0,0.0,154.42699,154.42699,154.42699,-3.38195,-5.51304,-5.77557
2023-01-02 06:30:00,2023-01-01 22:15:00,2023-01-01 22:30:00,2023-01-01,23,147.36646,145.73642,145.1478,0.0,0.0,0.0,150.92836,150.92836,150.92836,-3.56191,-5.19194,-5.78056
2023-01-02 06:45:00,2023-01-01 22:30:00,2023-01-01 22:45:00,2023-01-01,23,139.58472,155.53981,152.88773,0.0,17.44126,15.38935,142.9,142.9,142.9,-3.31528,-4.80144,-5.40162
2023-01-02 07:00:00,2023-01-01 22:45:00,2023-01-01 23:00:00,2023-01-01,23,124.34614,137.63701,135.22346,0.0,13.12432,11.96629,128.11266,128.11266,128.11266,-3.76651,-3.59997,-4.85547
2023-01-02 07:15:00,2023-01-01 23:00:00,2023-01-01 23:15:00,2023-01-01,24,124.07591,124.36782,123.36922,0.0,0.47056,0.42904,127.61073,127.61073,127.61073,-3.53482,-3.71347,-4.67055
2023-01-02 07:30:00,2023-01-01 23:15:00,2023-01-01 23:30:00,2023-01-01,24,115.0,123.81397,123.03627,0.0,8.81397,8.03627,115.0,115.0,115.0,0.0,0.0,0.0
2023-01-02 07:45:00,2023-01-01 23:30:00,2023-01-01 23:45:00,2023-01-01,24,116.20018,130.9894,129.68446,0.0,14.78922,13.48429,116.20018,116.20018,116.20018,0.0,0.0,0.0
2023-01-02 08:00:00,2023-01-01 23:45:00,2023-01-02 00:00:00,2023-01-01,24,110.09199,110.37563,109.2766,0.0,0.0004,0.00036,113.29833,113.29833,113.29833,-3.20634,-2.9231,-4.02209
2023-01-02 08:15:00,2023-01-02 00:00:00,2023-01-02 00:15:00,2023-01-02,1,127.97,127.97,127.97,0.0,0.0,0.0,127.97,127.97,127.97,0.0,0.0,0.0
2023-01-02 08:30:00,2023-01-02 00:15:00,2023-01-02 00:30:00,2023-01-02,1,127.92,127.92,127.92,0.0,0.0,0.0,127.92,127.92,127.92,0.0,0.0,0.0
2023-01-02 08:45:00,2023-01-02 00:30:00,2023-01-02 00:45:00,2023-01-02,1,129.42,129.42,129.42,0.0,0.0,0.0,129.42,129.42,129.42,0.0,0.0,0.0
2023-01-02 09:00:00,2023-01-02 00:45:00,2023-01-02 01:00:00,2023-01-02,1,128.30968,128.31007,128.31001,0.0,0.0004,0.00036,128.30968,128.30968,128.30968,0.0,0.0,0.0
2023-01-02 09:15:00,2023-01-02 01:00:00,2023-01-02 01:15:00,2023-01-02,2,134.8988,134.89922,134.89915,0.0,0.00041,0.00036,134.8988,134.8988,134.8988,0.0,0.0,0.0
2023-01-02 09:30:00,2023-01-02 01:15:00,2023-01-02 01:30:00,2023-01-02,2,123.16426,129.56622,128.83456,0.0,6.40196,5.67031,123.16426,123.16426,123.16426,0.0,0.0,0.0
2023-01-02 09:45:00,2023-01-02 01:30:00,2023-01-02 01:45:00,2023-01-02,2,126.1312,130.07382,129.62323,0.0,3.94262,3.49203,126.1312,126.1312,126.1312,0.0,0.0,0.0
2023-01-02 10:00:00,2023-01-02 01:45:00,2023-01-02 02:00:00,2023-01-02,2,121.60898,130.5073,129.49034,0.0,8.89831,7.88136,121.60898,121.60898,121.60898,0.0,0.0,0.0
2023-01-02 10:15:00,2023-01-02 02:00:00,2023-01-02 02:15:00,2023-01-02,3,127.93,127.93,127.93,0.0,0.0,0.0,127.93,127.93,127.93,0.0,0.0,0.0
2023-01-02 10:30:00,2023-01-02 02:15:00,2023-01-02 02:30:00,2023-01-02,3,127.92,127.92,127.92,0.0,0.0,0.0,127.92,127.92,127.92,0.0,0.0,0.0
2023-01-02 10:45:00,2023-01-02 02:30:00,2023-01-02 02:45:00,2023-01-02,3,127.97,127.97,127.97,0.0,0.0,0.0,127.97,127.97,127.97,0.0,0.0,0.0
2023-01-02 11:00:00,2023-01-02 02:45:00,2023-01-02 03:00:00,2023-01-02,3,131.96481,131.96481,131.96481,0.0,0.0,0.0,131.96481,131.96481,131.96481,0.0,0.0,0.0
2023-01-02 11:15:00,2023-01-02 03:00:00,2023-01-02 03:15:00,2023-01-02,4,143.0,143.0,143.0,0.0,0.0,0.0,143.0,143.0,143.0,0.0,0.0,0.0
2023-01-02 11:30:00,2023-01-02 03:15:00,2023-01-02 03:30:00,2023-01-02,4,151.1312,151.1312,151.1312,0.0,0.0,0.0,151.1312,151.1312,151.1312,0.0,0.0,0.0
2023-01-02 11:45:00,2023-01-02 03:30:00,2023-01-02 03:45:00,2023-01-02,4,155.6812,155.6812,155.6812,0.0,0.0,0.0,155.6812,155.6812,155.6812,0.0,0.0,0.0
2023-01-02 12:00:00,2023-01-02 03:45:00,2023-01-02 04:00:00,2023-01-02,4,151.1112,151.1112,151.1112,0.0,0.0,0.0,151.1112,151.1112,151.1112,0.0,0.0,0.0
2023-01-02 12:15:00,2023-01-02 04:00:00,2023-01-02 04:15:00,2023-01-02,5,146.96712,146.96712,146.96712,0.0,0.0,0.0,146.96712,146.96712,146.96712,0.0,0.0,0.0
2023-01-02 12:30:00,2023-01-02 04:15:00,2023-01-02 04:30:00,2023-01-02,5,160.6412,160.6412,160.6412,0.0,0.0,0.0,160.6412,160.6412,160.6412,0.0,0.0,0.0
2023-01-02 12:45:00,2023-01-02 04:30:00,2023-01-02 04:45:00,2023-01-02,5,178.5712,178.5712,178.5712,0.0,0.0,0.0,178.5712,178.5712,178.5712,0.0,0.0,0.0
2023-01-02 13:00:00,2023-01-02 04:45:00,2023-01-02 05:00:00,2023-01-02,5,188.6024,188.6024,188.6024,0.0,0.0,0.0,188.6024,188.6024,188.6024,0.0,0.0,0.0
2023-01-02 13:15:00,2023-01-02 05:00:00,2023-01-02 05:15:00,2023-01-02,6,181.11964,181.11964,181.11964,0.0,0.0,0.0,181.11964,181.11964,181.11964,0.0,0.0,0.0
2023-01-02 13:30:00,2023-01-02 05:15:00,2023-01-02 05:30:00,2023-01-02,6,175.11752,175.11752,175.11752,0.0,0.0,0.0,175.11752,175.11752,175.11752,0.0,0.0,0.0
2023-01-02 13:45:00,2023-01-02 05:30:00,2023-01-02 05:45:00,2023-01-02,6,188.3412,188.3412,188.3412,0.0,0.0,0.0,188.3412,188.3412,188.3412,0.0,0.0,0.0
2023-01-02 14:00:00,2023-01-02 05:45:00,2023-01-02 06:00:00,2023-01-02,6,193.7112,193.7112,193.7112,0.0,0.0,0.0,193.7112,193.7112,193.7112,0.0,0.0,0.0
2023-01-02 14:15:00,2023-01-02 06:00:00,2023-01-02 06:15:00,2023-01-02,7,178.94687,178.94687,178.94687,0.0,0.0,0.0,178.94687,178.94687,178.94687,0.0,0.0,0.0
2023-01-02 14:30:00,2023-01-02 06:15:00,2023-01-02 06:30:00,2023-01-02,7,198.1336,198.1336,198.1336,0.0,0.0,0.0,198.1336,198.1336,198.1336,0.0,0.0,0.0
2023-01-02 14:45:00,2023-01-02 06:30:00,2023-01-02 06:45:00,2023-01-02,7,206.1324,206.1324,206.1324,0.0,0.0,0.0,206.1324,206.1324,206.1324,0.0,0.0,0.0
2023-01-02 15:00:00,2023-01-02 06:45:00,2023-01-02 07:00:00,2023-01-02,7,213.3836,213.3836,213.3836,0.0,0.0,0.0,213.3836,213.3836,213.3836,0.0,0.0,0.0
2023-01-02 15:15:00,2023-01-02 07:00:00,2023-01-02 07:15:00,2023-01-02,8,260.04962,260.04962,260.04962,0.0,0.0,0.0,260.04962,260.04962,260.04962,0.0,0.0,0.0
2023-01-02 15:30:00,2023-01-02 07:15:00,2023-01-02 07:30:00,2023-01-02,8,270.0604,271.51672,271.17407,1.799,3.25533,2.91267,268.2614,268.2614,268.2614,0.0,0.0,0.0
2023-01-02 15:45:00,2023-01-02 07:30:00,2023-01-02 07:45:00,2023-01-02,8,206.1312,206.1312,206.1312,0.0,0.0,0.0,206.1312,206.1312,206.1312,0.0,0.0,0.0
2023-01-02 16:00:00,2023-01-02 07:45:00,2023-01-02 08:00:00,2023-01-02,8,191.2312,191.2312,191.2312,0.0,0.0,0.0,191.2312,191.2312,191.2312,0.0,0.0,0.0
2023-01-02 16:15:00,2023-01-02 08:00:00,2023-01-02 08:15:00,2023-01-02,9,176.85226,172.50418,172.03703,0.0,0.0,0.0,179.67314,179.67314,179.67314,-2.82087,-7.16896,-7.63611
2023-01-02 16:30:00,2023-01-02 08:15:00,2023-01-02 08:30:00,2023-01-02,9,171.09496,165.23743,165.46205,0.0,0.0,0.0,172.78827,172.78827,172.78827,-1.69333,-7.55085,-7.32622
2023-01-02 16:45:00,2023-01-02 08:30:00,2023-01-02 08:45:00,2023-01-02,9,139.68901,133.58568,134.35736,0.0,0.0,0.0,140.30635,140.30635,140.30635,-0.61735,-6.72067,-5.94899
